Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
NielsenIQ,IT Services & Consulting ,101,3.9,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",652,4000,78,20,63
Acme Cleantech Solutions,Industrial Machinery ,21,3.9,Salary & Benefits,"Job Security, Promotions / Appraisal",651,25000,38,15,96
Kalpataru Group,Real Estate ,55,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",651,36000,25,26,83
Financial Software & Systems,FinTech ,33,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",650,53000,37,129,63
Snapdeal,Internet ,14,3.9,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",646,31000,68,33,117
Piramal Pharma,Pharma ,36,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,644,36000,58,149,103
City Union Bank,Banking ,120,3.4,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",635,4000,45,3,60
Royal Sundaram General Insurance,Insurance ,23,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,633,25000,18,1,64
NBC Bearings,Auto Components ,78,3.9,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,628,27000,57,3,50
Collins Aerospace,Defence & Aerospace ,91,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,624,6000,40,29,110
OLX,Internet ,18,3.8,Salary & Benefits,"Job Security, Promotions / Appraisal",623,38000,49,77,116
Medusind Solutions,IT Services & Consulting ,22,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,623,28000,21,15,102
Genpact Headstrong Capital Markets,IT Services & Consulting ,26,3.8,"Job Security, Work Life Balance",Promotions / Appraisal,619,61000,68,3,109
Jabil Circuit India,Electronics Manufacturing ,58,4.0,"Skill Development / Learning, Company Culture",Promotions / Appraisal,618,3000,32,9,77
Aparajitha Corporate Services,Legal ,24,3.9,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",612,25000,18,5,59
Adani Enterprises,Financial Services ,36,3.9,Job Security,Promotions / Appraisal,611,36000,49,27,83
BNP Paribas India Solutions,IT Services & Consulting ,176,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,607,69000,39,1,116
